

- Riga 208, nr 199, 2022-11-08, "Hakuto-R M1 & Lunar Flashlight": Data diversa su data; workbook="2022-11-08"; fonte="2022-12-11"; missione fonte="Hakuto-R Mission 1 Emirates Lunar Mission Lunar Flashlight"; fonte=F9/FH 2020-2022
- Riga 443, nr 420, 2024-11-30, "Starlink:6-65": Pad diverso su pad; workbook="SLC-40"; fonte="SLC-4E"; missione fonte="NROL-126 (2 Starshield satellites) + Starlink: Group N-01 (20 satellites)"; fonte=F9/FH 2024-2026
- Riga 444, nr 421, 2024-11-30, "NROL-126 + Starlink:N-01": Booster diverso su booster; workbook="B1088"; fonte="B1083"; missione fonte="Starlink: Group 6-65 (24 satellites)"; fonte=F9/FH 2024-2026
- Riga 444, nr 421, 2024-11-30, "NROL-126 + Starlink:N-01": Numero volo booster diverso su voli; workbook="1"; fonte="6"; missione fonte="Starlink: Group 6-65 (24 satellites)"; fonte=F9/FH 2024-2026
- Riga 444, nr 421, 2024-11-30, "NROL-126 + Starlink:N-01": Pad diverso su pad; workbook="SLC-4E"; fonte="SLC-40"; missione fonte="Starlink: Group 6-65 (24 satellites)"; fonte=F9/FH 2024-2026
- Riga 455, nr 432, 2024-12-29, "Starlink:11-3": Booster diverso su booster; workbook="B1075"; fonte="B1083"; missione fonte="Astranis: From One to Many (4 satellites)"; fonte=F9/FH 2024-2026
- Riga 455, nr 432, 2024-12-29, "Starlink:11-3": Numero volo booster diverso su voli; workbook="16"; fonte="7"; missione fonte="Astranis: From One to Many (4 satellites)"; fonte=F9/FH 2024-2026
- Riga 455, nr 432, 2024-12-29, "Starlink:11-3": Pad diverso su pad; workbook="SLC-4E"; fonte="SLC-40"; missione fonte="Astranis: From One to Many (4 satellites)"; fonte=F9/FH 2024-2026
- Riga 456, nr 433, 2024-12-29, "Astranis: From One to Many": Booster diverso su booster; workbook="B1083"; fonte="B1075"; missione fonte="Starlink: Group 11-3 (22 satellites)"; fonte=F9/FH 2024-2026
- Riga 456, nr 433, 2024-12-29, "Astranis: From One to Many": Numero volo booster diverso su voli; workbook="7"; fonte="16"; missione fonte="Starlink: Group 11-3 (22 satellites)"; fonte=F9/FH 2024-2026
- Riga 456, nr 433, 2024-12-29, "Astranis: From One to Many": Pad diverso su pad; workbook="SLC-40"; fonte="SLC-4E"; missione fonte="Starlink: Group 11-3 (22 satellites)"; fonte=F9/FH 2024-2026
- Riga 466, nr 443, 2025-01-21, "Starlink: 13-1": Booster diverso su booster; workbook="B1083"; fonte="B1082"; missione fonte="Starlink: Group 11-8 (27 satellites)"; fonte=F9/FH 2024-2026
- Riga 466, nr 443, 2025-01-21, "Starlink: 13-1": Numero volo booster diverso su voli; workbook="8"; fonte="10"; missione fonte="Starlink: Group 11-8 (27 satellites)"; fonte=F9/FH 2024-2026
- Riga 466, nr 443, 2025-01-21, "Starlink: 13-1": Pad diverso su pad; workbook="LC-39A"; fonte="SLC-4E"; missione fonte="Starlink: Group 11-8 (27 satellites)"; fonte=F9/FH 2024-2026
- Riga 467, nr 444, 2025-01-21, "Starlink:11-8": Booster diverso su booster; workbook="B1082"; fonte="B1083"; missione fonte="Starlink: Group 13-1 (21 satellites) + 2 Starshield satellites"; fonte=F9/FH 2024-2026
- Riga 467, nr 444, 2025-01-21, "Starlink:11-8": Numero volo booster diverso su voli; workbook="10"; fonte="8"; missione fonte="Starlink: Group 13-1 (21 satellites) + 2 Starshield satellites"; fonte=F9/FH 2024-2026
- Riga 467, nr 444, 2025-01-21, "Starlink:11-8": Pad diverso su pad; workbook="SLC-4E"; fonte="LC-39A"; missione fonte="Starlink: Group 13-1 (21 satellites) + 2 Starshield satellites"; fonte=F9/FH 2024-2026
- Riga 479, nr 456, 2025-02-21, "Starlink12-14": Pad diverso su pad; workbook="SLC-4E"; fonte="SLC-40"; missione fonte="Starlink: Group 12-14 (23 satellites)"; fonte=F9/FH 2024-2026
- Riga 487, nr 464, 2025-03-15, "Transporter 13": Booster diverso su booster; workbook="B1081"; fonte="B1078"; missione fonte="Starlink: Group 12-16"; fonte=F9/FH 2024-2026
- Riga 487, nr 464, 2025-03-15, "Transporter 13": Numero volo booster diverso su voli; workbook="13"; fonte="18"; missione fonte="Starlink: Group 12-16"; fonte=F9/FH 2024-2026
- Riga 487, nr 464, 2025-03-15, "Transporter 13": Pad diverso su pad; workbook="SLC-4E"; fonte="SLC-40"; missione fonte="Starlink: Group 12-16"; fonte=F9/FH 2024-2026
- Riga 488, nr 465, 2025-03-15, "Starlink12-16": Booster diverso su booster; workbook="B1078"; fonte="B1081"; missione fonte="Transporter-13 (74 payload smallsat rideshare)"; fonte=F9/FH 2024-2026
- Riga 488, nr 465, 2025-03-15, "Starlink12-16": Numero volo booster diverso su voli; workbook="18"; fonte="13"; missione fonte="Transporter-13 (74 payload smallsat rideshare)"; fonte=F9/FH 2024-2026
- Riga 488, nr 465, 2025-03-15, "Starlink12-16": Pad diverso su pad; workbook="SLC-40"; fonte="SLC-4E"; missione fonte="Transporter-13 (74 payload smallsat rideshare)"; fonte=F9/FH 2024-2026
- Riga 505, nr 482, 2025-04-28, "Starlink12-23": Booster diverso su booster; workbook="B1077"; fonte="B1063"; missione fonte="Starlink: Group 11-9"; fonte=F9/FH 2024-2026
- Riga 505, nr 482, 2025-04-28, "Starlink12-23": Numero volo booster diverso su voli; workbook="20"; fonte="25"; missione fonte="Starlink: Group 11-9"; fonte=F9/FH 2024-2026
- Riga 505, nr 482, 2025-04-28, "Starlink12-23": Pad diverso su pad; workbook="SLC-40"; fonte="SLC-4E"; missione fonte="Starlink: Group 11-9"; fonte=F9/FH 2024-2026
- Riga 506, nr 483, 2025-04-28, "Starlink11-9": Booster diverso su booster; workbook="B1063"; fonte="B1077"; missione fonte="Starlink: Group 12-23"; fonte=F9/FH 2024-2026
- Riga 506, nr 483, 2025-04-28, "Starlink11-9": Numero volo booster diverso su voli; workbook="25"; fonte="20"; missione fonte="Starlink: Group 12-23"; fonte=F9/FH 2024-2026
- Riga 506, nr 483, 2025-04-28, "Starlink11-9": Pad diverso su pad; workbook="SLC-4E"; fonte="SLC-40"; missione fonte="Starlink: Group 12-23"; fonte=F9/FH 2024-2026
- Riga 509, nr 486, 2025-05-04, "Starlink6-84": Numero volo booster diverso su voli; workbook="19"; fonte="20"; missione fonte="Starlink: Group 6-84"; fonte=F9/FH 2024-2026
- Riga 529, nr 506, 2025-06-13, "Starlink 15-6": Booster diverso su booster; workbook="B1081"; fonte="B1078"; missione fonte="Starlink: Group 12-26"; fonte=F9/FH 2024-2026
- Riga 529, nr 506, 2025-06-13, "Starlink 15-6": Numero volo booster diverso su voli; workbook="15"; fonte="21"; missione fonte="Starlink: Group 12-26"; fonte=F9/FH 2024-2026
- Riga 529, nr 506, 2025-06-13, "Starlink 15-6": Pad diverso su pad; workbook="SLC-4E"; fonte="SLC-40"; missione fonte="Starlink: Group 12-26"; fonte=F9/FH 2024-2026
- Riga 530, nr 507, 2025-06-13, "Starlink 12-26": Booster diverso su booster; workbook="B1078"; fonte="B1081"; missione fonte="Starlink: Group 15-6"; fonte=F9/FH 2024-2026
- Riga 530, nr 507, 2025-06-13, "Starlink 12-26": Numero volo booster diverso su voli; workbook="21"; fonte="15"; missione fonte="Starlink: Group 15-6"; fonte=F9/FH 2024-2026
- Riga 530, nr 507, 2025-06-13, "Starlink 12-26": Pad diverso su pad; workbook="SLC-40"; fonte="SLC-4E"; missione fonte="Starlink: Group 15-6"; fonte=F9/FH 2024-2026
- Riga 541, nr 518, 2025-07-08, "Starlink:10-28": Pad diverso su pad; workbook="SLC-4E"; fonte="SLC-40"; missione fonte="Starlink: Group 10-28"; fonte=F9/FH 2024-2026
- Riga 543, nr 520, 2025-07-16, "Starlink15-2": Booster diverso su booster; workbook="B1093"; fonte="B1096"; missione fonte="KuiperSat x 24 (KF-01)"; fonte=F9/FH 2024-2026
- Riga 543, nr 520, 2025-07-16, "Starlink15-2": Numero volo booster diverso su voli; workbook="4"; fonte="1"; missione fonte="KuiperSat x 24 (KF-01)"; fonte=F9/FH 2024-2026
- Riga 543, nr 520, 2025-07-16, "Starlink15-2": Pad diverso su pad; workbook="SLC-4E"; fonte="SLC-40"; missione fonte="KuiperSat x 24 (KF-01)"; fonte=F9/FH 2024-2026
- Riga 544, nr 521, 2025-07-16, "Project Kuiper KF-01": Booster diverso su booster; workbook="B1096"; fonte="B1093"; missione fonte="Starlink: Group 15-2"; fonte=F9/FH 2024-2026
- Riga 544, nr 521, 2025-07-16, "Project Kuiper KF-01": Numero volo booster diverso su voli; workbook="1"; fonte="4"; missione fonte="Starlink: Group 15-2"; fonte=F9/FH 2024-2026
- Riga 544, nr 521, 2025-07-16, "Project Kuiper KF-01": Pad diverso su pad; workbook="SLC-40"; fonte="SLC-4E"; missione fonte="Starlink: Group 15-2"; fonte=F9/FH 2024-2026
- Riga 546, nr 523, 2025-07-22, "O3b mPOWER": Pad diverso su pad; workbook="SLC-4E"; fonte="SLC-40"; missione fonte="O3b mPOWER 9 & 10"; fonte=F9/FH 2024-2026
- Riga 555, nr 532, 2025-08-13, "Starlink17-4": Booster diverso su booster; workbook="B1093"; fonte="B1085"; missione fonte="Starlink: Group 10-20"; fonte=F9/FH 2024-2026
- Riga 555, nr 532, 2025-08-13, "Starlink17-4": Numero volo booster diverso su voli; workbook="5"; fonte="10"; missione fonte="Starlink: Group 10-20"; fonte=F9/FH 2024-2026
- Riga 555, nr 532, 2025-08-13, "Starlink17-4": Pad diverso su pad; workbook="SLC-4E"; fonte="SLC-40"; missione fonte="Starlink: Group 10-20"; fonte=F9/FH 2024-2026
- Riga 556, nr 533, 2025-08-14, "Starlink10-20": Booster diverso su booster; workbook="B1081"; fonte="B1093"; missione fonte="Starlink: Group 17-4"; fonte=F9/FH 2024-2026
